Age,Attrition,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
24,No,673.0,Research & Development,11.0,1.0,96.0,4.0,2.0,Manufacturing Director,3.0,4011.0,8232.0,0.0,No,18.0,3.0,4.0,5.0,2.0,4.0,2.0,1.0
36,Yes,1218.0,Sales,9.0,3.0,82.0,2.0,1.0,Sales Representative,1.0,3407.0,6986.0,7.0,No,23.0,4.0,2.0,10.0,3.0,5.0,3.0,0.0
34,No,419.0,Research & Development,7.0,1.0,53.0,3.0,3.0,Research Director,2.0,11994.0,21293.0,0.0,No,11.0,3.0,3.0,13.0,3.0,12.0,6.0,2.0
21,No,391.0,Research & Development,15.0,3.0,96.0,3.0,1.0,Research Scientist,4.0,1232.0,19281.0,1.0,No,14.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0
34,Yes,699.0,Research & Development,6.0,2.0,83.0,3.0,1.0,Research Scientist,1.0,2960.0,17102.0,2.0,No,11.0,3.0,3.0,8.0,3.0,4.0,2.0,1.0
53,No,1282.0,Research & Development,5.0,3.0,58.0,3.0,5.0,Manager,3.0,19094.0,10735.0,4.0,No,11.0,3.0,4.0,26.0,2.0,14.0,13.0,4.0
32,Yes,1125.0,Research & Development,16.0,2.0,72.0,1.0,1.0,Research Scientist,1.0,3919.0,4681.0,1.0,Yes,22.0,4.0,2.0,10.0,3.0,10.0,2.0,6.0
42,No,691.0,Sales,8.0,3.0,48.0,3.0,2.0,Sales Executive,2.0,6825.0,21173.0,0.0,No,11.0,3.0,4.0,10.0,3.0,9.0,7.0,4.0
44,No,477.0,Research & Development,7.0,1.0,42.0,2.0,3.0,Healthcare Representative,4.0,10248.0,2094.0,3.0,No,14.0,3.0,4.0,24.0,3.0,22.0,6.0,5.0
46,No,705.0,Sales,2.0,2.0,83.0,3.0,5.0,Manager,1.0,18947.0,22822.0,3.0,No,12.0,3.0,4.0,22.0,2.0,2.0,2.0,2.0
33,No,924.0,Research & Development,2.0,3.0,78.0,3.0,1.0,Laboratory Technician,4.0,2496.0,6670.0,4.0,No,11.0,3.0,4.0,7.0,3.0,1.0,1.0,0.0
44,No,1459.0,Research & Development,10.0,4.0,41.0,3.0,2.0,Healthcare Representative,4.0,6465.0,19121.0,2.0,Yes,13.0,3.0,4.0,9.0,4.0,4.0,2.0,1.0
30,No,125.0,Research & Development,9.0,4.0,83.0,2.0,1.0,Laboratory Technician,3.0,2206.0,16117.0,1.0,No,13.0,3.0,1.0,10.0,3.0,10.0,0.0,1.0
39,Yes,895.0,Sales,5.0,4.0,56.0,3.0,2.0,Sales Representative,4.0,2086.0,3335.0,3.0,No,14.0,3.0,3.0,19.0,4.0,1.0,0.0,0.0
24,Yes,813.0,Research & Development,1.0,2.0,61.0,3.0,1.0,Research Scientist,4.0,2293.0,3020.0,2.0,Yes,16.0,3.0,1.0,6.0,2.0,2.0,0.0,2.0
43,No,1273.0,Research & Development,2.0,4.0,72.0,4.0,1.0,Research Scientist,3.0,2645.0,21923.0,1.0,No,12.0,3.0,4.0,6.0,2.0,5.0,3.0,1.0
50,Yes,869.0,Sales,3.0,1.0,86.0,2.0,1.0,Sales Representative,3.0,2683.0,3810.0,1.0,Yes,14.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
35,No,890.0,Sales,2.0,4.0,97.0,3.0,1.0,Sales Representative,4.0,2014.0,9687.0,1.0,No,13.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0
36,No,852.0,Research & Development,5.0,2.0,82.0,2.0,1.0,Research Scientist,1.0,3419.0,13072.0,9.0,Yes,14.0,3.0,4.0,6.0,4.0,1.0,1.0,0.0
33,No,1141.0,Sales,1.0,3.0,42.0,4.0,2.0,Sales Executive,1.0,5376.0,3193.0,2.0,No,19.0,3.0,1.0,10.0,3.0,5.0,3.0,1.0
35,No,464.0,Research & Development,4.0,3.0,75.0,3.0,1.0,Laboratory Technician,4.0,1951.0,10910.0,1.0,No,12.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0
27,No,1240.0,Research & Development,2.0,4.0,33.0,3.0,1.0,Laboratory Technician,1.0,2341.0,19715.0,1.0,No,13.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0
26,Yes,1357.0,Research & Development,25.0,1.0,48.0,1.0,1.0,Laboratory Technician,3.0,2293.0,10558.0,1.0,No,12.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0
27,No,994.0,Sales,8.0,4.0,37.0,3.0,3.0,Sales Executive,3.0,8726.0,2975.0,1.0,No,15.0,3.0,4.0,9.0,3.0,9.0,8.0,1.0
30,No,721.0,Research & Development,1.0,3.0,58.0,3.0,2.0,Laboratory Technician,4.0,4011.0,10781.0,1.0,No,23.0,4.0,4.0,12.0,3.0,12.0,8.0,3.0
41,Yes,1360.0,Research & Development,12.0,2.0,49.0,3.0,5.0,Research Director,3.0,19545.0,16280.0,1.0,No,12.0,3.0,4.0,23.0,3.0,22.0,15.0,15.0
34,No,1065.0,Sales,23.0,2.0,72.0,3.0,2.0,Sales Executive,3.0,4568.0,10034.0,0.0,No,20.0,4.0,3.0,10.0,3.0,9.0,5.0,8.0
37,No,408.0,Research & Development,19.0,2.0,73.0,3.0,1.0,Research Scientist,2.0,3022.0,10227.0,4.0,No,21.0,4.0,1.0,8.0,3.0,1.0,0.0,0.0
46,No,1211.0,Sales,5.0,1.0,98.0,3.0,2.0,Sales Executive,4.0,5772.0,20445.0,4.0,Yes,21.0,4.0,3.0,14.0,3.0,9.0,6.0,0.0
35,No,1229.0,Research & Development,8.0,4.0,36.0,4.0,1.0,Laboratory Technician,4.0,2269.0,4892.0,1.0,No,19.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0
48,Yes,626.0,Research & Development,1.0,1.0,98.0,2.0,3.0,Laboratory Technician,3.0,5381.0,19294.0,9.0,Yes,13.0,3.0,4.0,23.0,3.0,1.0,0.0,0.0
28,Yes,1434.0,Research & Development,5.0,3.0,50.0,3.0,1.0,Laboratory Technician,3.0,3441.0,11179.0,1.0,Yes,13.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
44,No,1488.0,Sales,1.0,2.0,75.0,3.0,2.0,Sales Executive,1.0,5454.0,4009.0,5.0,Yes,21.0,4.0,3.0,9.0,2.0,4.0,3.0,1.0
35,No,1097.0,Research & Development,11.0,3.0,79.0,2.0,3.0,Healthcare Representative,1.0,9884.0,8302.0,2.0,Yes,13.0,3.0,3.0,10.0,3.0,4.0,0.0,2.0
26,No,1443.0,Sales,23.0,3.0,47.0,2.0,2.0,Sales Executive,4.0,4157.0,21436.0,7.0,Yes,19.0,3.0,3.0,5.0,2.0,2.0,2.0,0.0
33,No,515.0,Research & Development,1.0,1.0,98.0,3.0,3.0,Research Director,4.0,13458.0,15146.0,1.0,Yes,12.0,3.0,3.0,15.0,3.0,15.0,14.0,8.0
35,No,853.0,Sales,18.0,2.0,71.0,3.0,3.0,Sales Executive,1.0,9069.0,11031.0,1.0,No,22.0,4.0,4.0,9.0,2.0,9.0,8.0,1.0
35,No,1142.0,Research & Development,23.0,3.0,30.0,3.0,1.0,Laboratory Technician,1.0,4014.0,16002.0,3.0,Yes,15.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0
31,No,655.0,Research & Development,7.0,4.0,48.0,3.0,2.0,Laboratory Technician,4.0,5915.0,9528.0,3.0,No,22.0,4.0,4.0,10.0,2.0,7.0,7.0,1.0
37,No,1115.0,Research & Development,1.0,1.0,51.0,2.0,2.0,Manufacturing Director,3.0,5993.0,2689.0,1.0,No,18.0,3.0,3.0,7.0,4.0,7.0,5.0,0.0
32,No,427.0,Research & Development,1.0,1.0,33.0,3.0,2.0,Manufacturing Director,4.0,6162.0,10877.0,1.0,Yes,22.0,4.0,2.0,9.0,3.0,9.0,8.0,7.0
38,No,653.0,Research & Development,29.0,4.0,50.0,3.0,2.0,Laboratory Technician,4.0,2406.0,5456.0,1.0,No,11.0,3.0,4.0,10.0,3.0,10.0,3.0,9.0
50,No,989.0,Research & Development,7.0,2.0,43.0,2.0,5.0,Research Director,3.0,18740.0,16701.0,5.0,Yes,12.0,3.0,4.0,29.0,2.0,27.0,3.0,13.0
59,No,1435.0,Sales,25.0,1.0,99.0,3.0,3.0,Sales Executive,1.0,7637.0,2354.0,7.0,No,11.0,3.0,4.0,28.0,2.0,21.0,16.0,7.0
36,No,1223.0,Research & Development,8.0,3.0,59.0,3.0,3.0,Healthcare Representative,3.0,10096.0,8202.0,1.0,No,13.0,3.0,2.0,17.0,3.0,17.0,14.0,12.0
55,No,836.0,Research & Development,8.0,4.0,33.0,3.0,4.0,Manager,3.0,14756.0,19730.0,2.0,Yes,14.0,3.0,3.0,21.0,3.0,5.0,0.0,0.0
36,No,1195.0,Research & Development,11.0,2.0,95.0,2.0,2.0,Manufacturing Director,2.0,6499.0,22656.0,1.0,No,13.0,3.0,3.0,6.0,3.0,6.0,5.0,0.0
45,No,1339.0,Research & Development,7.0,2.0,59.0,3.0,3.0,Research Scientist,1.0,9724.0,18787.0,2.0,No,17.0,3.0,3.0,25.0,3.0,1.0,0.0,0.0
35,No,664.0,Research & Development,1.0,2.0,79.0,3.0,1.0,Research Scientist,1.0,2194.0,5868.0,4.0,No,13.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0
36,Yes,318.0,Research & Development,9.0,4.0,79.0,2.0,1.0,Research Scientist,3.0,3388.0,21777.0,0.0,Yes,17.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0
59,No,1225.0,Sales,1.0,1.0,57.0,2.0,2.0,Sales Executive,3.0,5473.0,24668.0,7.0,No,11.0,3.0,4.0,20.0,2.0,4.0,3.0,1.0
29,No,1328.0,Research & Development,2.0,3.0,76.0,3.0,1.0,Research Scientist,2.0,2703.0,4956.0,0.0,No,23.0,4.0,4.0,6.0,3.0,5.0,4.0,0.0
31,No,1082.0,Research & Development,1.0,3.0,87.0,3.0,1.0,Research Scientist,2.0,2501.0,18775.0,1.0,No,17.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
32,No,548.0,Research & Development,1.0,2.0,66.0,3.0,2.0,Research Scientist,2.0,6220.0,7346.0,1.0,No,17.0,3.0,2.0,10.0,3.0,10.0,4.0,0.0
36,No,132.0,Research & Development,6.0,2.0,55.0,4.0,1.0,Laboratory Technician,4.0,3038.0,22002.0,3.0,No,12.0,3.0,2.0,5.0,3.0,1.0,0.0,0.0
31,No,746.0,Research & Development,8.0,3.0,61.0,3.0,2.0,Manufacturing Director,4.0,4424.0,20682.0,1.0,No,23.0,4.0,4.0,11.0,3.0,11.0,7.0,1.0
35,No,776.0,Sales,1.0,3.0,32.0,2.0,2.0,Sales Executive,1.0,4312.0,23016.0,0.0,No,14.0,3.0,2.0,16.0,3.0,15.0,13.0,2.0
45,No,193.0,Research & Development,6.0,4.0,52.0,3.0,3.0,Research Director,1.0,13245.0,15067.0,4.0,Yes,14.0,3.0,2.0,17.0,4.0,0.0,0.0,0.0
37,No,397.0,Research & Development,7.0,1.0,30.0,3.0,3.0,Research Director,3.0,13664.0,25258.0,4.0,No,13.0,3.0,1.0,16.0,4.0,5.0,2.0,0.0
46,No,945.0,Human Resources,5.0,2.0,80.0,3.0,2.0,Human Resources,2.0,5021.0,10425.0,8.0,Yes,22.0,4.0,4.0,16.0,3.0,4.0,2.0,0.0
30,No,852.0,Research & Development,1.0,4.0,55.0,2.0,2.0,Laboratory Technician,4.0,5126.0,15998.0,1.0,Yes,12.0,3.0,3.0,10.0,2.0,10.0,8.0,3.0
35,No,1214.0,Research & Development,1.0,2.0,30.0,2.0,1.0,Research Scientist,3.0,2859.0,26278.0,1.0,No,18.0,3.0,1.0,6.0,3.0,6.0,4.0,0.0
55,No,111.0,Sales,1.0,1.0,70.0,3.0,3.0,Sales Executive,4.0,10239.0,18092.0,3.0,No,14.0,3.0,4.0,24.0,3.0,1.0,0.0,1.0
38,No,573.0,Research & Development,6.0,2.0,79.0,1.0,2.0,Research Scientist,4.0,5329.0,15717.0,7.0,Yes,12.0,3.0,4.0,17.0,3.0,13.0,11.0,1.0
34,No,1153.0,Research & Development,1.0,1.0,94.0,3.0,2.0,Manufacturing Director,2.0,4325.0,17736.0,1.0,No,15.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0
56,No,1400.0,Research & Development,7.0,4.0,49.0,1.0,3.0,Manufacturing Director,4.0,7260.0,21698.0,4.0,No,11.0,3.0,1.0,37.0,2.0,6.0,4.0,0.0
23,No,541.0,Sales,2.0,3.0,62.0,3.0,1.0,Sales Representative,1.0,2322.0,9518.0,3.0,No,13.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
51,No,432.0,Research & Development,9.0,4.0,96.0,3.0,1.0,Laboratory Technician,4.0,2075.0,18725.0,3.0,No,23.0,4.0,2.0,10.0,3.0,4.0,2.0,0.0
30,No,288.0,Research & Development,2.0,3.0,99.0,2.0,2.0,Healthcare Representative,4.0,4152.0,15830.0,1.0,No,19.0,3.0,1.0,11.0,3.0,11.0,10.0,10.0
46,Yes,669.0,Sales,9.0,3.0,64.0,2.0,3.0,Sales Executive,4.0,9619.0,13596.0,1.0,No,16.0,3.0,4.0,9.0,3.0,9.0,8.0,4.0
40,No,530.0,Research & Development,1.0,3.0,78.0,2.0,4.0,Healthcare Representative,2.0,13503.0,14115.0,1.0,No,22.0,4.0,4.0,22.0,2.0,22.0,3.0,11.0
51,No,632.0,Sales,21.0,3.0,71.0,3.0,2.0,Sales Executive,4.0,5441.0,8423.0,0.0,Yes,22.0,4.0,4.0,11.0,1.0,10.0,7.0,1.0
30,No,1334.0,Sales,4.0,3.0,63.0,2.0,2.0,Sales Executive,2.0,5209.0,19760.0,1.0,Yes,12.0,3.0,2.0,11.0,2.0,11.0,8.0,2.0
46,No,638.0,Research & Development,1.0,3.0,40.0,2.0,3.0,Healthcare Representative,1.0,10673.0,3142.0,2.0,Yes,13.0,3.0,3.0,21.0,2.0,10.0,9.0,9.0
32,No,1093.0,Sales,6.0,2.0,87.0,3.0,2.0,Sales Executive,3.0,5010.0,24301.0,1.0,No,16.0,3.0,1.0,12.0,3.0,11.0,8.0,5.0
54,No,1217.0,Research & Development,2.0,1.0,60.0,3.0,3.0,Research Director,3.0,13549.0,24001.0,9.0,No,12.0,3.0,1.0,16.0,1.0,4.0,3.0,0.0
24,No,1353.0,Sales,3.0,1.0,33.0,3.0,2.0,Sales Executive,3.0,4999.0,17519.0,0.0,No,21.0,4.0,1.0,4.0,2.0,3.0,2.0,0.0
28,No,120.0,Sales,4.0,2.0,43.0,3.0,2.0,Sales Executive,3.0,4221.0,8863.0,1.0,No,15.0,3.0,2.0,5.0,4.0,5.0,4.0,0.0
58,No,682.0,Sales,10.0,4.0,37.0,3.0,4.0,Sales Executive,3.0,13872.0,24409.0,0.0,No,13.0,3.0,3.0,38.0,2.0,37.0,10.0,1.0
44,No,489.0,Research & Development,23.0,2.0,67.0,3.0,2.0,Laboratory Technician,2.0,2042.0,25043.0,4.0,No,12.0,3.0,3.0,17.0,4.0,3.0,2.0,1.0
37,Yes,807.0,Human Resources,6.0,3.0,63.0,3.0,1.0,Human Resources,1.0,2073.0,23648.0,4.0,Yes,22.0,4.0,4.0,7.0,3.0,3.0,2.0,0.0
32,No,827.0,Research & Development,1.0,4.0,71.0,3.0,1.0,Research Scientist,1.0,2956.0,15178.0,1.0,No,13.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0
20,Yes,871.0,Research & Development,6.0,4.0,66.0,2.0,1.0,Laboratory Technician,4.0,2926.0,19783.0,1.0,Yes,18.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0
34,No,665.0,Research & Development,6.0,1.0,41.0,3.0,2.0,Research Scientist,3.0,4809.0,12482.0,1.0,No,14.0,3.0,3.0,16.0,3.0,16.0,13.0,2.0
37,No,1040.0,Research & Development,2.0,3.0,100.0,2.0,2.0,Healthcare Representative,4.0,5163.0,15850.0,5.0,No,14.0,3.0,4.0,17.0,4.0,1.0,0.0,0.0
59,No,1420.0,Human Resources,2.0,3.0,32.0,2.0,5.0,Manager,4.0,18844.0,21922.0,9.0,No,21.0,4.0,4.0,30.0,3.0,3.0,2.0,2.0
50,No,1115.0,Research & Development,1.0,1.0,73.0,3.0,5.0,Research Director,2.0,18172.0,9755.0,3.0,Yes,19.0,3.0,1.0,28.0,2.0,8.0,3.0,0.0
25,Yes,240.0,Sales,5.0,3.0,46.0,2.0,2.0,Sales Executive,3.0,5744.0,26959.0,1.0,Yes,11.0,3.0,4.0,6.0,3.0,6.0,4.0,0.0
25,No,1280.0,Research & Development,7.0,4.0,64.0,2.0,1.0,Research Scientist,4.0,2889.0,26897.0,1.0,No,11.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
22,No,534.0,Research & Development,15.0,2.0,59.0,3.0,1.0,Laboratory Technician,4.0,2871.0,23785.0,1.0,No,15.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0
51,No,1456.0,Research & Development,1.0,1.0,30.0,2.0,3.0,Healthcare Representative,1.0,7484.0,25796.0,3.0,No,20.0,4.0,3.0,23.0,2.0,13.0,12.0,12.0
34,Yes,658.0,Research & Development,7.0,1.0,66.0,1.0,2.0,Laboratory Technician,3.0,6074.0,22887.0,1.0,Yes,24.0,4.0,4.0,9.0,3.0,9.0,7.0,0.0
54,No,142.0,Human Resources,26.0,4.0,30.0,4.0,4.0,Manager,4.0,17328.0,13871.0,2.0,Yes,12.0,3.0,3.0,23.0,3.0,5.0,3.0,4.0
24,No,1127.0,Research & Development,18.0,2.0,52.0,3.0,1.0,Laboratory Technician,3.0,2774.0,13257.0,0.0,No,12.0,3.0,3.0,6.0,3.0,5.0,3.0,1.0
34,No,1031.0,Research & Development,6.0,3.0,45.0,2.0,2.0,Research Scientist,2.0,4505.0,15000.0,6.0,No,15.0,3.0,3.0,12.0,3.0,1.0,0.0,0.0
37,No,1189.0,Sales,3.0,3.0,87.0,3.0,3.0,Sales Executive,4.0,7428.0,14506.0,2.0,No,12.0,3.0,1.0,12.0,3.0,5.0,3.0,1.0
34,No,1354.0,Research & Development,5.0,3.0,45.0,2.0,3.0,Manager,1.0,11631.0,5615.0,2.0,No,12.0,3.0,4.0,14.0,3.0,11.0,10.0,5.0
36,No,1467.0,Sales,11.0,2.0,92.0,3.0,3.0,Sales Executive,4.0,9738.0,22952.0,0.0,No,14.0,3.0,3.0,10.0,3.0,9.0,7.0,2.0
36,No,922.0,Research & Development,3.0,1.0,39.0,3.0,1.0,Laboratory Technician,4.0,2835.0,2561.0,5.0,No,22.0,4.0,1.0,7.0,3.0,1.0,0.0,0.0
43,No,394.0,Sales,26.0,3.0,92.0,3.0,4.0,Manager,4.0,16959.0,19494.0,1.0,Yes,12.0,3.0,4.0,25.0,4.0,25.0,12.0,4.0
30,No,1312.0,Research & Development,23.0,1.0,96.0,1.0,1.0,Research Scientist,3.0,2613.0,22310.0,1.0,No,25.0,4.0,3.0,10.0,2.0,10.0,7.0,0.0
33,No,750.0,Sales,22.0,3.0,95.0,3.0,2.0,Sales Executive,2.0,6146.0,15480.0,0.0,No,13.0,3.0,1.0,8.0,4.0,7.0,7.0,0.0
56,Yes,441.0,Research & Development,14.0,2.0,72.0,3.0,1.0,Research Scientist,2.0,4963.0,4510.0,9.0,Yes,18.0,3.0,1.0,7.0,3.0,5.0,4.0,4.0
51,No,684.0,Research & Development,6.0,1.0,51.0,3.0,5.0,Research Director,3.0,19537.0,6462.0,7.0,No,13.0,3.0,3.0,23.0,3.0,20.0,18.0,15.0
31,Yes,249.0,Sales,6.0,2.0,76.0,1.0,2.0,Sales Executive,3.0,6172.0,20739.0,4.0,Yes,18.0,3.0,2.0,12.0,2.0,7.0,7.0,7.0
26,No,841.0,Research & Development,6.0,3.0,46.0,2.0,1.0,Research Scientist,2.0,2368.0,23300.0,1.0,No,19.0,3.0,3.0,5.0,2.0,5.0,4.0,4.0
58,Yes,147.0,Research & Development,23.0,4.0,94.0,3.0,3.0,Healthcare Representative,4.0,10312.0,3465.0,1.0,No,12.0,3.0,4.0,40.0,2.0,40.0,10.0,15.0
19,Yes,528.0,Sales,22.0,4.0,50.0,3.0,1.0,Sales Representative,3.0,1675.0,26820.0,1.0,Yes,19.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0
22,No,594.0,Research & Development,2.0,3.0,100.0,3.0,1.0,Laboratory Technician,4.0,2523.0,19299.0,0.0,No,14.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0
49,No,470.0,Research & Development,20.0,3.0,96.0,3.0,2.0,Manufacturing Director,1.0,6567.0,5549.0,1.0,No,14.0,3.0,3.0,16.0,2.0,15.0,11.0,5.0
43,No,957.0,Research & Development,28.0,2.0,72.0,4.0,1.0,Research Scientist,3.0,4739.0,16090.0,4.0,No,12.0,3.0,4.0,18.0,3.0,3.0,2.0,1.0
50,No,809.0,Sales,12.0,3.0,77.0,3.0,3.0,Sales Executive,4.0,9208.0,6645.0,4.0,No,11.0,3.0,4.0,16.0,3.0,2.0,2.0,2.0
31,Yes,542.0,Sales,20.0,2.0,71.0,1.0,2.0,Sales Executive,3.0,4559.0,24788.0,3.0,Yes,11.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0
41,No,802.0,Sales,9.0,3.0,96.0,3.0,3.0,Sales Executive,3.0,8189.0,21196.0,3.0,Yes,13.0,3.0,3.0,12.0,3.0,9.0,7.0,0.0
26,No,1355.0,Human Resources,25.0,3.0,61.0,3.0,1.0,Human Resources,3.0,2942.0,8916.0,1.0,No,23.0,4.0,4.0,8.0,3.0,8.0,7.0,5.0
36,No,216.0,Research & Development,6.0,2.0,84.0,3.0,2.0,Manufacturing Director,2.0,4941.0,2819.0,6.0,No,20.0,4.0,4.0,7.0,3.0,3.0,2.0,0.0
51,Yes,1150.0,Research & Development,8.0,1.0,53.0,1.0,3.0,Manufacturing Director,4.0,10650.0,25150.0,2.0,No,15.0,3.0,4.0,18.0,3.0,4.0,2.0,0.0
39,No,1329.0,Sales,4.0,4.0,47.0,2.0,2.0,Sales Executive,3.0,5902.0,14590.0,4.0,No,14.0,3.0,3.0,17.0,4.0,15.0,11.0,5.0
25,No,959.0,Sales,28.0,1.0,41.0,2.0,2.0,Sales Executive,3.0,8639.0,24835.0,2.0,No,18.0,3.0,4.0,6.0,3.0,2.0,2.0,2.0
30,No,1240.0,Human Resources,9.0,3.0,48.0,3.0,2.0,Human Resources,4.0,6347.0,13982.0,0.0,Yes,19.0,3.0,4.0,12.0,1.0,11.0,9.0,4.0
32,Yes,1033.0,Research & Development,9.0,1.0,41.0,3.0,1.0,Laboratory Technician,1.0,4200.0,10224.0,7.0,No,22.0,4.0,1.0,10.0,4.0,5.0,4.0,0.0
45,No,1316.0,Research & Development,29.0,3.0,83.0,3.0,1.0,Research Scientist,4.0,3452.0,9752.0,5.0,No,13.0,3.0,2.0,9.0,2.0,6.0,5.0,0.0
38,No,364.0,Research & Development,3.0,4.0,32.0,3.0,2.0,Research Scientist,3.0,4317.0,2302.0,3.0,Yes,20.0,4.0,2.0,19.0,3.0,3.0,2.0,2.0
30,No,438.0,Research & Development,18.0,1.0,75.0,3.0,1.0,Research Scientist,3.0,2632.0,23910.0,1.0,No,14.0,3.0,3.0,5.0,2.0,5.0,4.0,0.0
